Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response_Onset,Response_Offset
Rat,9121,1,1,19,Long,PI,15;36,12,-5.79999999999927;31.5200000000004;32.5800000000008;33.5200000000004;34.2000000000007;34.6400000000003,-5.73999999999978;32.5;32.7800000000007;34.1200000000008;34.5400000000009;34.8000000000002;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48;-6689.48
Rat,9121,2,1,1,Short,PI,15;36,4,3.22000000000003;3.68000000000006;4.03999999999996;4.27999999999997;4.53999999999996;5.34000000000015;10.7,3.6400000000001;4;4.20000000000005;4.46000000000004;5.27999999999997;6.60000000000014;10.9200000000001;-1976.54;-1976.54;-1976.54;-1976.54;-1976.54;-1976.54;-1976.54;-1976.54;-1976.54;-1976.54;-1976.54;-1976.54;-1976.54;-1976.54
Rat,9121,2,1,2,Short,PI,15;36,4,0.900000000000091;1.40000000000009;1.68000000000029;2;2.46000000000004;2.7800000000002;3;3.2800000000002;3.92000000000007;4.20000000000027;5.58000000000038;6.10000000000036,1.38000000000011;1.64000000000033;1.88000000000011;2.42000000000007;2.70000000000027;2.94000000000005;3.18000000000029;3.88000000000011;4.10000000000036;5.2800000000002;5.80000000000018;6.26000000000022;-2496.22;-2496.22;-2496.22;-2496.22
Rat,9121,2,1,3,Short,PI,15;36,4,2.5;3.22000000000025;3.68000000000029;3.96000000000004;4.38000000000011;4.94000000000006;5.26000000000022;6.26000000000022;6.46000000000004,3.20000000000027;3.44000000000005;3.88000000000011;4.22000000000026;4.90000000000009;5.16000000000031;6.20000000000027;6.44000000000006;6.62000000000035;-2613.24;-2613.24;-2613.24;-2613.24;-2613.24;-2613.24;-2613.24;-2613.24;-2613.24;-2613.24
Rat,9121,2,1,4,Short,PI,15;36,4,1.59999999999991;2.13999999999987;2.67999999999984;2.91999999999962;3.29999999999973;3.63999999999987;4.2199999999998;4.47999999999956;5.73999999999978;6.4399999999996;6.69999999999982;7.13999999999987;7.53999999999996,2.07999999999993;2.61999999999989;2.89999999999964;3.15999999999985;3.51999999999998;4.17999999999984;4.37999999999965;5.51999999999998;6.35999999999967;6.55999999999995;6.73999999999978;7.25999999999976;7.87999999999965;-2735.26;-2735.26
Rat,9121,2,1,5,Short,PI,15;36,4,2.94000000000005;3.55999999999995;3.77999999999975;4.05999999999995;4.31999999999971;4.59999999999991;4.88000000000011;5.38000000000011;5.67999999999984;7.19999999999982;7.35999999999967,3.44000000000005;3.75999999999976;3.96000000000004;4.27999999999975;4.53999999999996;4.77999999999975;5.31999999999971;5.57999999999993;7.03999999999996;7.25999999999976;7.53999999999996;-3049.38;-3049.38;-3049.38;-3049.38;-3049.38;-3049.38
Rat,9121,2,1,6,Short,PI,15;36,4,0.820000000000164;4.42000000000007;4.88000000000011;5.25999999999976;5.75999999999976;6.13999999999987;6.77999999999975;41.46,1.32000000000016;4.84000000000015;5.15999999999985;5.69999999999982;6.07999999999993;6.65999999999985;6.94000000000006;42.0599999999999;-3687.46;-3687.46;-3687.46;-3687.46;-3687.46;-3687.46;-3687.46;-3687.46;-3687.46;-3687.46;-3687.46;-3687.46
Rat,9121,2,1,7,Short,PI,15;36,4,2.03999999999996;2.46000000000004;3.14000000000033;3.4399999999996;3.76000000000022;3.96000000000004;4.76000000000022;5.11999999999989;5.72000000000026,2.39999999999964;3.11999999999989;3.39999999999964;3.65999999999985;3.9399999999996;4.73999999999978;5.10000000000036;5.53999999999996;5.89999999999964;-4128.96;-4128.96;-4128.96;-4128.96;-4128.96;-4128.96;-4128.96;-4128.96;-4128.96;-4128.96
Rat,9121,2,1,8,Short,PI,15;36,4,1.77999999999975;2.09999999999945;2.89999999999964;3.22000000000025;3.59999999999945;4.59999999999945;4.84000000000015;5.23999999999978;5.5,2.05999999999949;2.81999999999971;3.09999999999945;3.57999999999993;4.57999999999993;4.80000000000018;5.19999999999982;5.4399999999996;5.55999999999949;-6273.3;-6273.3;-6273.3;-6273.3;-6273.3;-6273.3;-6273.3;-6273.3;-6273.3;-6273.3
Rat,9121,2,1,9,Short,PI,15;36,4,3.18000000000029;3.55999999999949;3.92000000000007;4.22000000000026;4.47999999999956;5.22000000000026;5.4399999999996;5.85999999999967;6.13999999999942;6.4399999999996;6.77999999999975;7.18000000000029;7.4399999999996,3.5;3.89999999999964;4.13999999999942;4.39999999999964;5.18000000000029;5.39999999999964;5.80000000000018;6.05999999999949;6.42000000000007;6.72000000000026;6.97999999999956;7.27999999999975;7.53999999999996;-6505.34;-6505.34
