Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,Release,Task
Human,3,3,2,27,Auditory,TR,3,3,2.865324361,3.398585119,Range
Human,3,3,2,28,Auditory,TR,7,7,5.614572026,6.580817381,Range
Human,3,3,2,29,Auditory,TR,3,3,2.582051129,3.332063958,Range
Human,3,3,2,30,Auditory,TR,5,5,3.998427909,4.71480784,Range
Human,4,4,1,1,Auditory,TR,9,9,6.647444176,NaN,Point
Human,4,4,1,2,Auditory,TR,9,9,7.414125223,NaN,Point
Human,4,4,1,3,Auditory,TR,9,9,8.33012638,NaN,Point
Human,4,4,1,4,Auditory,TR,7,7,5.397784555,NaN,Point
Human,4,4,1,5,Auditory,TR,5,5,4.947859638,NaN,Point
Human,4,4,1,6,Auditory,TR,3,3,2.782187181,NaN,Point
Human,4,4,1,7,Auditory,TR,9,9,6.93067948,NaN,Point
Human,4,4,1,8,Auditory,TR,1,1,0.832872593,NaN,Point
Human,4,4,1,9,Auditory,TR,1,1,1.099677688,NaN,Point
Human,4,4,1,10,Auditory,TR,7,7,4.265269098,NaN,Point
Human,4,4,1,11,Auditory,TR,3,3,3.0823411,NaN,Point
Human,4,4,1,12,Auditory,TR,9,9,7.547159521,NaN,Point
Human,4,4,1,13,Auditory,TR,5,5,3.065619971,NaN,Point
Human,4,4,1,14,Auditory,TR,1,1,1.032654439,NaN,Point
Human,4,4,1,15,Auditory,TR,5,5,3.88206731,NaN,Point
Human,4,4,1,16,Auditory,TR,1,1,1.016175744,NaN,Point
Human,4,4,1,17,Auditory,TR,3,3,2.782295834,NaN,Point
Human,4,4,1,18,Auditory,TR,3,3,3.115791143,NaN,Point
Human,4,4,1,19,Auditory,TR,5,5,4.181491099,NaN,Point
Human,4,4,1,20,Auditory,TR,3,3,2.198759028,NaN,Point
Human,4,4,1,21,Auditory,TR,1,1,0.999475496,NaN,Point
Human,4,4,1,22,Auditory,TR,5,5,3.781576676,NaN,Point
Human,4,4,1,23,Auditory,TR,7,7,5.347822548,NaN,Point
Human,4,4,1,24,Auditory,TR,9,9,5.848000037,NaN,Point
Human,4,4,1,25,Auditory,TR,7,7,3.948727795,NaN,Point
Human,4,4,1,26,Auditory,TR,3,3,2.732286756,NaN,Point
Human,4,4,1,27,Auditory,TR,7,7,6.214203227,NaN,Point
Human,4,4,1,28,Auditory,TR,5,5,3.931833601,NaN,Point
Human,4,4,1,29,Auditory,TR,7,7,7.21396044,NaN,Point
Human,4,4,1,30,Auditory,TR,1,1,0.783042243,NaN,Point
Human,4,4,2,1,Auditory,TR,9,9,5.914431184,10.07939121,Range
Human,4,4,2,2,Auditory,TR,7,7,4.115128965,7.763681961,Range
Human,4,4,2,3,Auditory,TR,9,9,5.930958366,9.896623533,Range
Human,4,4,2,4,Auditory,TR,9,9,3.965113411,7.097145771,Range
Human,4,4,2,5,Auditory,TR,5,5,3.265383767,6.214109793,Range
Human,4,4,2,6,Auditory,TR,1,1,0.349806249,1.482655802,Range
Human,4,4,2,7,Auditory,TR,9,9,7.147352335,11.49558613,Range
Human,4,4,2,8,Auditory,TR,7,7,3.431983839,6.514224072,Range
Human,4,4,2,9,Auditory,TR,1,1,0.282647096,1.48263846,Range
Human,4,4,2,10,Auditory,TR,5,5,2.91581075,5.431283792,Range
Human,4,4,2,11,Auditory,TR,3,3,1.616017826,3.565290652,Range
Human,4,4,2,12,Auditory,TR,3,3,2.298379736,4.097846526,Range
Human,4,4,2,13,Auditory,TR,3,3,2.01591243,3.715253827,Range
Human,4,4,2,14,Auditory,TR,5,5,3.082880468,5.948047568,Range
Human,4,4,2,15,Auditory,TR,9,9,6.14759052,8.946759313,Range
Human,4,4,2,16,Auditory,TR,1,1,0.283163106,1.299361854,Range
Human,4,4,2,17,Auditory,TR,7,7,3.615225761,6.130723224,Range
Human,4,4,2,18,Auditory,TR,1,1,0.566136866,3.698523143,Range
Human,4,4,2,19,Auditory,TR,1,1,0.699687881,1.499527345,Range
Human,4,4,2,20,Auditory,TR,3,3,2.066158632,3.565591835,Range
Human,4,4,2,21,Auditory,TR,3,3,1.715995989,3.248749702,Range
Human,4,4,2,22,Auditory,TR,7,7,4.198433071,6.830692115,Range
Human,4,4,2,23,Auditory,TR,7,7,32.1878853,32.53813643,Range
Human,5,5,2,1,Auditory,TR,5,5,4.648122987,5.364874234,Range
Human,5,5,2,2,Auditory,TR,3,3,2.46571383,3.032090651,Range
Human,5,5,2,3,Auditory,TR,3,3,3.048634467,3.865051369,Range
Human,5,5,2,4,Auditory,TR,9,9,9.429722314,10.61292566,Range
Human,5,5,2,5,Auditory,TR,5,5,3.798668001,4.481870816,Range
