Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,Accuracy,Range,AgeGroup
Human,79,79,1,22,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,3.769100605,0,Short,5 years
Human,79,79,1,23,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,0.04921769,0,Short,5 years
Human,79,79,1,24,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,0.049215912,0,Short,5 years
Human,79,79,1,25,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,1.709153547,0,Short,5 years
Human,79,79,2,26,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,1.631399394,0,Short,5 years
Human,79,79,2,27,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,0.996977292,1,Short,5 years
Human,79,79,2,28,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,1.568369228,0,Short,5 years
Human,79,79,2,29,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,1.111778967,0,Short,5 years
Human,79,79,2,30,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,0.649810934,1,Short,5 years
Human,79,79,2,31,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,1.29874769,0,Short,5 years
Human,79,79,2,32,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,0.810164124,1,Short,5 years
Human,79,79,2,33,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,0.321866781,0,Short,5 years
Human,79,79,2,34,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,0.617955851,1,Short,5 years
Human,79,79,2,35,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,0.989235965,1,Short,5 years
Human,79,79,2,36,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,2.360844079,0,Short,5 years
Human,79,79,2,37,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,0.377350287,0,Short,5 years
Human,79,79,2,38,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,1.989025299,0,Short,5 years
Human,79,79,2,39,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,0.436192457,0,Short,5 years
Human,79,79,2,40,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,0.934514236,1,Short,5 years
Human,79,79,3,41,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,0.462449322,1,Short,5 years
Human,79,79,3,42,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,0.700868222,1,Short,5 years
Human,79,79,3,43,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,0.103122531,0,Short,5 years
Human,79,79,3,44,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,0.321259226,0,Short,5 years
Human,79,79,3,45,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,0.380994284,0,Short,5 years
Human,79,79,3,46,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,0.887549833,1,Short,5 years
Human,79,79,3,47,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,1.140659831,1,Short,5 years
Human,79,79,3,48,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,0.375275622,1,Short,5 years
Human,79,79,3,49,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,0.432094238,1,Short,5 years
Human,79,79,3,50,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,0.129462507,0,Short,5 years
Human,79,79,3,51,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,4.582134994,0,Short,5 years
Human,79,79,3,52,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,0.291423252,0,Short,5 years
Human,79,79,3,53,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,1.174909578,1,Short,5 years
Human,79,79,3,54,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,1.632051394,0,Short,5 years
Human,79,79,3,55,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,0.861573412,1,Short,5 years
Human,79,79,4,56,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,0.38267606,1,Short,5 years
Human,79,79,4,57,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,0.676086466,1,Short,5 years
Human,79,79,4,58,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,1.255015729,0,Short,5 years
Human,79,79,4,59,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,0.775677933,1,Short,5 years
Human,79,79,4,60,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,0.048770134,0,Short,5 years
Human,79,79,4,61,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,0.151667821,0,Short,5 years
Human,79,79,4,62,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,2.828740997,0,Short,5 years
Human,79,79,4,63,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,0.695918004,1,Short,5 years
Human,79,79,4,64,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,0.117190518,0,Short,5 years
Human,79,79,4,65,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,0.056245239,0,Short,5 years
Human,79,79,4,66,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,0.388723166,1,Short,5 years
Human,79,79,4,67,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,0.370236071,0,Short,5 years
Human,79,79,4,68,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,0.048986579,0,Short,5 years
Human,79,79,4,69,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,0.339526765,1,Short,5 years
Human,79,79,4,70,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,1.036784367,1,Short,5 years
Human,80,80,1,11,Visual,TR,0.9;1;1.1;1.2;1.3,1,1.18091535,1,Long,5 years
Human,80,80,1,12,Visual,TR,0.9;1;1.1;1.2;1.3,0.9,1.764945498,0,Long,5 years
Human,80,80,1,13,Visual,TR,0.9;1;1.1;1.2;1.3,1.2,1.957734215,0,Long,5 years
Human,80,80,1,14,Visual,TR,0.9;1;1.1;1.2;1.3,1.1,1.327832109,1,Long,5 years
Human,80,80,1,15,Visual,TR,0.9;1;1.1;1.2;1.3,1.3,1.139981164,1,Long,5 years
Human,80,80,1,16,Visual,TR,0.9;1;1.1;1.2;1.3,1.3,1.751147732,0,Long,5 years
