Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,MCI
Human,2,2,1,15,Auditory,TR,1;1.17;1.4;1.68,1.68,1.77384,0
Human,2,2,1,16,Auditory,TR,1;1.17;1.4;1.68,1.68,1.71748,0
Human,2,2,1,17,Auditory,TR,1;1.17;1.4;1.68,1.68,1.78332,0
Human,2,2,1,18,Auditory,TR,1;1.17;1.4;1.68,1.4,1.5101,0
Human,2,2,1,19,Auditory,TR,1;1.17;1.4;1.68,1.17,1.45036,0
Human,2,2,1,20,Auditory,TR,1;1.17;1.4;1.68,1.68,1.48104,0
Human,2,2,1,21,Auditory,TR,1;1.17;1.4;1.68,1.17,1.41779,0
Human,2,2,1,22,Auditory,TR,1;1.17;1.4;1.68,1.17,1.41722,0
Human,2,2,1,23,Auditory,TR,1;1.17;1.4;1.68,1.4,1.51864,0
Human,2,2,1,24,Auditory,TR,1;1.17;1.4;1.68,1.68,1.73608,0
Human,2,2,1,25,Auditory,TR,1;1.17;1.4;1.68,1.17,1.32419,0
Human,2,2,1,26,Auditory,TR,1;1.17;1.4;1.68,1.4,1.56163,0
Human,2,2,1,27,Auditory,TR,1;1.17;1.4;1.68,1.4,1.37668,0
Human,2,2,1,28,Auditory,TR,1;1.17;1.4;1.68,1.17,1.38045,0
Human,2,2,1,29,Auditory,TR,1;1.17;1.4;1.68,1.68,1.66599,0
Human,2,2,1,30,Auditory,TR,1;1.17;1.4;1.68,1.4,1.41621,0
Human,2,3,1,1,Auditory,TR,1;1.17;1.4;1.68,1.17,1.02291,0
Human,2,3,1,2,Auditory,TR,1;1.17;1.4;1.68,1.17,1.43278,0
Human,2,3,1,3,Auditory,TR,1;1.17;1.4;1.68,1.68,1.61027,0
Human,2,3,1,4,Auditory,TR,1;1.17;1.4;1.68,1.4,1.45549,0
Human,2,3,1,5,Auditory,TR,1;1.17;1.4;1.68,1.17,1.39348,0
Human,2,3,1,6,Auditory,TR,1;1.17;1.4;1.68,1.68,1.62254,0
Human,2,3,1,7,Auditory,TR,1;1.17;1.4;1.68,1.17,1.3992,0
Human,2,3,1,8,Auditory,TR,1;1.17;1.4;1.68,1.68,1.49032,0
Human,2,3,1,9,Auditory,TR,1;1.17;1.4;1.68,1.4,1.42268,0
Human,2,3,1,10,Auditory,TR,1;1.17;1.4;1.68,1.4,1.63831,0
Human,2,3,1,11,Auditory,TR,1;1.17;1.4;1.68,1.68,1.78313,0
Human,2,3,1,12,Auditory,TR,1;1.17;1.4;1.68,1.17,1.2433,0
Human,2,3,1,13,Auditory,TR,1;1.17;1.4;1.68,1.4,1.38788,0
Human,2,3,1,14,Auditory,TR,1;1.17;1.4;1.68,1.17,1.31845,0
Human,2,3,1,15,Auditory,TR,1;1.17;1.4;1.68,1.17,1.19189,0
Human,2,3,1,16,Auditory,TR,1;1.17;1.4;1.68,1.17,1.31684,0
Human,2,3,1,17,Auditory,TR,1;1.17;1.4;1.68,1.68,1.88995,0
Human,2,3,1,18,Auditory,TR,1;1.17;1.4;1.68,1.68,1.7381,0
Human,2,3,1,19,Auditory,TR,1;1.17;1.4;1.68,1.68,1.86,0
Human,2,3,1,20,Auditory,TR,1;1.17;1.4;1.68,1.68,1.73638,0
Human,2,3,1,21,Auditory,TR,1;1.17;1.4;1.68,1.4,1.69559,0
Human,2,3,1,22,Auditory,TR,1;1.17;1.4;1.68,1.17,1.27507,0
Human,2,3,1,23,Auditory,TR,1;1.17;1.4;1.68,1.4,1.32386,0
Human,2,3,1,24,Auditory,TR,1;1.17;1.4;1.68,1.4,1.38709,0
Human,2,3,1,25,Auditory,TR,1;1.17;1.4;1.68,1.68,1.77503,0
Human,2,3,1,26,Auditory,TR,1;1.17;1.4;1.68,1.17,1.29838,0
Human,2,3,1,27,Auditory,TR,1;1.17;1.4;1.68,1.4,1.57042,0
Human,2,3,1,28,Auditory,TR,1;1.17;1.4;1.68,1.4,1.40005,0
Human,2,3,1,29,Auditory,TR,1;1.17;1.4;1.68,1.68,1.74911,0
Human,2,3,1,30,Auditory,TR,1;1.17;1.4;1.68,1.4,1.71601,0
Human,2,4,1,1,Auditory,TR,1;1.17;1.4;1.68,1.4,1.63144,0
Human,2,4,1,2,Auditory,TR,1;1.17;1.4;1.68,1.4,1.44921,0
Human,2,4,1,3,Auditory,TR,1;1.17;1.4;1.68,1.17,1.26581,0
Human,2,4,1,4,Auditory,TR,1;1.17;1.4;1.68,1.17,1.49613,0
Human,2,4,1,5,Auditory,TR,1;1.17;1.4;1.68,1.17,1.364,0
Human,2,4,1,6,Auditory,TR,1;1.17;1.4;1.68,1.4,1.44357,0
Human,2,4,1,7,Auditory,TR,1;1.17;1.4;1.68,1.68,1.69126,0
Human,2,4,1,8,Auditory,TR,1;1.17;1.4;1.68,1.4,1.79443,0
Human,2,4,1,9,Auditory,TR,1;1.17;1.4;1.68,1.17,1.56969,0
Human,2,4,1,10,Auditory,TR,1;1.17;1.4;1.68,1.68,1.65019,0
Human,2,4,1,11,Auditory,TR,1;1.17;1.4;1.68,1.4,1.37612,0
Human,2,4,1,12,Auditory,TR,1;1.17;1.4;1.68,1.4,1.66345,0
Human,2,4,1,13,Auditory,TR,1;1.17;1.4;1.68,1.68,2.12914,0
Human,2,4,1,14,Auditory,TR,1;1.17;1.4;1.68,1.17,1.44996,0
Human,2,4,1,15,Auditory,TR,1;1.17;1.4;1.68,1.4,1.48452,0
Human,2,4,1,16,Auditory,TR,1;1.17;1.4;1.68,1.17,1.35687,0
Human,2,4,1,17,Auditory,TR,1;1.17;1.4;1.68,1.68,1.90757,0
Human,2,4,1,18,Auditory,TR,1;1.17;1.4;1.68,1.68,1.94079,0
Human,2,4,1,19,Auditory,TR,1;1.17;1.4;1.68,1.68,1.7035,0
Human,2,4,1,20,Auditory,TR,1;1.17;1.4;1.68,1.68,1.7762,0
Human,2,4,1,21,Auditory,TR,1;1.17;1.4;1.68,1.17,1.44607,0
Human,2,4,1,22,Auditory,TR,1;1.17;1.4;1.68,1.17,1.19392,0
Human,2,4,1,23,Auditory,TR,1;1.17;1.4;1.68,1.68,1.92196,0
Human,2,4,1,24,Auditory,TR,1;1.17;1.4;1.68,1.68,2.05301,0
Human,2,4,1,25,Auditory,TR,1;1.17;1.4;1.68,1.4,1.54008,0
Human,2,4,1,26,Auditory,TR,1;1.17;1.4;1.68,1.4,1.52964,0
Human,2,4,1,27,Auditory,TR,1;1.17;1.4;1.68,1.17,1.43431,0
Human,2,4,1,28,Auditory,TR,1;1.17;1.4;1.68,1.4,1.4087,0
